sample-id	Reactor	Day	Donor	pH
#q2:types	Categorical	Categorical	Categorical	Categorical
Feb1C-Zijie-part5	C	1	A	Controlled
Feb1B-Zijie-part5	B	1	A	Controlled
Feb1A-Zijie-part5	A	1	A	Controlled
Feb2C-Zijie-part5	C	2	A	Controlled
Feb2B-Zijie-part5	B	2	A	Controlled
Feb2A-Zijie-part5	A	2	A	Controlled
Feb3C-Zijie-part5	C	3	A	Controlled
Feb3B-Zijie-part5	B	3	A	Controlled
Feb3A-Zijie-part5	A	3	A	Controlled
Feb4C-Zijie-part5	C	4	A	Controlled
Feb4B-Zijie-part5	B	4	A	Controlled
Feb4A-Zijie-part5	A	4	A	Controlled
Feb5C-Zijie-part5	C	5	A	Controlled
Feb5B-Zijie-part5	B	5	A	Controlled
Feb5A-Zijie-part5	A	5	A	Controlled
Feb6C-Zijie-part5	C	6	A	Controlled
Feb6B-Zijie-part5	B	6	A	Controlled
Feb6A-Zijie-part5	A	6	A	Controlled
Feb7C-Zijie-part5	C	7	A	Controlled
Feb7B-Zijie-part5	B	7	A	Controlled
Feb7A-Zijie-part5	A	7	A	Controlled
Feb8C-Zijie-part5	C	8	A	Controlled
Feb8B-Zijie-part5	B	8	A	Controlled
Feb8A-Zijie-part5	A	8	A	Controlled
Feb9C-Zijie-part5	C	9	A	Controlled
Feb9B-Zijie-part5	B	9	A	Controlled
Feb9A-Zijie-part5	A	9	A	Controlled
Feb10C-Zijie-part5	C	10	A	Controlled
Feb10B-Zijie-part5	B	10	A	Controlled
Feb10A-Zijie-part5	A	10	A	Controlled
Feb11C-Zijie-part5	C	11	A	Controlled
Feb11B-Zijie-part5	B	11	A	Controlled
Feb11A-Zijie-part5	A	11	A	Controlled
Feb12C-Zijie-part5	C	12	A	Controlled
Feb12B-Zijie-part5	B	12	A	Controlled
Feb12A-Zijie-part5	A	12	A	Controlled
Feb13C-Zijie-part5	C	13	A	Controlled
Feb13B-Zijie-part5	B	13	A	Controlled
Feb13A-Zijie-part5	A	13	A	Controlled
Feb14C-Zijie-part5	C	14	A	Controlled
Feb14B-Zijie-part5	B	14	A	Controlled
Feb14A-Zijie-part5	A	14	A	Controlled
FebFecalPowerFecal-Zijie-part5	D	0	A	Controlled
FebFecalDNAeasy-Zijie-part5	D	0	A	Controlled
May-1A	A	1	C	Controlled
May-1B	B	1	C	Controlled
May-1C	C	1	C	Controlled
May-2A	A	2	C	Controlled
May-2B	B	2	C	Controlled
May-2C	C	2	C	Controlled
May-3A	A	3	C	Controlled
May-3B	B	3	C	Controlled
May-3C	C	3	C	Controlled
May-4A	A	4	C	Controlled
May-4B	B	4	C	Controlled
May-4C	C	4	C	Controlled
May-5A	A	5	C	Controlled
May-5B	B	5	C	Controlled
May-5C	C	5	C	Controlled
May-6A	A	6	C	Controlled
May-6B	B	6	C	Controlled
May-6C	C	6	C	Controlled
May-7A	A	7	C	Controlled
May-7B	B	7	C	Controlled
May-7C	C	7	C	Controlled
May-8A	A	8	C	Controlled
May-8B	B	8	C	Controlled
May-8C	C	8	C	Controlled
May-9A	A	9	C	Controlled
May-9B	B	9	C	Controlled
May-9C	C	9	C	Controlled
May-10A	A	10	C	Controlled
